A;-126.8070;-216.5138
B;-139.2916;-173.6660
C;-122.2868;-173.6660
D;-122.2868;-260.1541
E;46.5879;-308.3579
F;46.5879;-394.8460
G;-139.2916;-260.1541
H;-125.5658;-187.8454
I;114.7559;-340.3880
J;485.8156;-95.8123
K;101.0301;-326.2086
L;101.0301;-412.6967
M;485.8156;-182.3004
N;468.8108;-182.3004
O;482.5366;-109.9917
P;481.2954;-138.6601
Q;468.8108;-95.8123
R;831.2387;-25.5598
S;812.2525;-15.0544
T;831.2387;-15.0544
U;823.7064;-25.5598
V;908.9750;-5.3682
W;846.0994;-5.3682
X;882.6604;-15.0544
Y;838.5671;-5.3682
Z;29.5831;-394.8460
A1;43.3089;-322.5373
B1;42.0677;-351.2057
C1;29.5831;-308.3579
D1;815.5315;-0.8750
E1;939.3425;-0.8750
F1;853.2274;-15.0544
G1;885.9394;-0.8750
H1;868.9346;-0.8750
I1;521.7703;-354.2219
J1;521.7703;-440.7099
K1;506.0631;-368.4012
L1;506.0631;-454.8893
M1;532.7646;-449.8794
N1;514.2380;-393.0861
O1;521.7703;-382.5806
P1;532.7646;-363.3913
Q1;532.8729;-236.7905
R1;532.8729;-323.2786
S1;529.0987;-292.7171
T1;536.6310;-292.7171
U1;540.4052;-236.7905
V1;484.0955;-454.8893
W1;479.5753;-411.2490
X1;540.4052;-323.2786
Y1;484.0955;-431.5965
Z1;170.8534;-342.4365
A2;170.8534;-428.9246
B2;187.8582;-428.9246
C2;183.3380;-385.2843
D2;118.0349;-412.6967
E2;113.5147;-369.0564
F2;184.5792;-356.6159
G2;118.0349;-326.2086
H2;529.0987;-372.8945
I2;529.0987;-459.3825
J2;521.7703;-393.0861
K2;502.7841;-382.5806
L2;536.6310;-372.8945
M2;540.4052;-403.4559
N2;187.8582;-342.4365
O2;536.6310;-459.3825
P2;532.8729;-403.4559
Q2;838.5671;-172.0336
R2;908.9750;-85.5456
S2;882.6604;-181.7198
T2;838.5671;-85.5456
U2;908.9750;-172.0336
V2;916.5073;-85.5456
W2;916.5073;-172.0336
X2;846.0994;-85.5456
Y2;846.0994;-172.0336
Z2;823.7064;-192.2252
A3;831.2387;-105.7372
B3;908.1208;-118.8902
C3;823.7064;-105.7372
D3;812.2525;-181.7198
E3;882.6604;-95.2317
F3;831.2387;-192.2252
G3;812.2525;-95.2317
H3;977.0174;-153.3610
I3;1047.4253;-66.8730
J3;1027.1979;-123.9001
K3;977.0174;-66.8730
L3;1047.4253;-153.3610
M3;999.0061;-153.3610
N3;1069.4139;-153.3610
O3;1042.9052;-109.7207
P3;999.0061;-66.8730
Q3;849.8736;-116.1070
R3;849.8736;-202.5951
S3;842.3413;-116.1070
T3;842.3413;-202.5951
U3;1031.7181;-81.0523
V3;1031.7181;-167.5404
W3;961.3102;-81.0523
X3;961.3102;-167.5404
Y3;831.2387;-66.8730
Z3;831.2387;-153.3610
A4;885.9394;-167.5404
B4;881.4192;-123.9001
C4;901.6466;-66.8730
D4;853.2274;-66.8730
E4;853.2274;-153.3610
F4;901.6466;-153.3610
G4;897.1265;-109.7207
H4;849.8736;-35.9297
I4;988.1200;-35.9297
J4;916.5073;-5.3682
K4;842.3413;-35.9297
L4;815.5315;-167.5404
M4;885.9394;-81.0523
N4;995.6523;-35.9297
O4;815.5315;-81.0523
P4;831.2387;-95.2317
Q4;831.2387;-181.7198
R4;853.2274;-181.7198
S4;919.1151;-138.0795
T4;897.1265;-138.0795
U4;912.6409;-76.0424
V4;912.6409;-162.5305
W4;842.2330;-76.0424
X4;842.2330;-162.5305
Y4;868.9346;-81.0523
Z4;868.9346;-167.5404
A5;923.6352;-153.3610
B5;919.1151;-109.7207
C5;934.8223;-123.9001
D5;853.2274;-95.2317
E5;939.3425;-144.2476
F5;939.3425;-167.5404
G5;413.0233;-258.7630
H5;358.1298;-283.2140
I5;435.0119;-258.7630
J5;347.1355;-302.4033
K5;339.6032;-312.9087
L5;347.1355;-312.9087
M5;428.5377;-283.2140
N5;424.0176;-239.5737
O5;435.0119;-230.4042
P5;384.8314;-288.2239
Q5;369.1242;-274.0445
R5;439.5320;-274.0445
S5;450.7191;-244.5836
T5;369.1242;-302.4033
U5;455.2393;-264.9311
V5;455.2393;-288.2239
W5;328.1493;-302.4033
X5;256.0576;-454.8893
Y5;251.5374;-411.2490
Z5;365.7704;-323.2786
A6;256.0576;-368.4012
B6;267.2447;-397.0696
C6;293.7534;-440.7099
D6;271.7648;-354.2219
E6;271.7648;-440.7099
F6;424.8718;-292.7171
G6;361.9962;-292.7171
H6;398.5572;-302.4033
I6;354.4639;-292.7171
J6;358.2381;-323.2786
K6;365.7704;-236.7905
L6;432.4041;-292.7171
M6;358.2381;-236.7905
N6;413.0233;-230.4042
O6;511.0478;34.8245
P6;256.0576;-288.2239
Q6;507.2736;65.3860
R6;503.5155;34.8245
S6;267.2447;-230.4042
T6;293.7534;-274.0445
U6;251.5374;-244.5836
V6;271.7648;-274.0445
W6;492.4129;55.6998
X6;503.4072;74.8891
Y6;530.1088;69.8792
Z6;514.4016;55.6998
A7;473.4267;55.6998
B7;499.7413;65.3860
C7;484.8806;45.1944
D7;492.4129;45.1944
E7;289.2333;-230.4042
F7;286.6255;-292.7171
G7;331.4283;-288.2239
H7;252.7786;-302.4033
I7;279.0932;-292.7171
J7;347.1355;-274.0445
K7;417.5434;-274.0445
L7;401.8362;-288.2239
M7;397.3160;-244.5836
N7;309.4607;-288.2239
O7;304.9405;-244.5836
P7;239.0528;-288.2239
Q7;309.4607;-264.9311
R7;282.7591;-283.2140
S7;278.2390;-239.5737
T7;289.2333;-258.7630
U7;267.2447;-258.7630
V7;347.1355;-393.0861
W7;328.1493;-382.5806
X7;424.0176;-406.2391
Y7;339.6032;-393.0861
Z7;354.4639;-459.3825
A8;424.8718;-372.8945
B8;398.5572;-382.5806
C8;354.4639;-372.8945
D8;435.0119;-425.4284
